,bikepoint_id,max_capacity,common_name,avg_5am_docked,conservative bikes needed,conservative capacity needed
0,1,19,"River Street , Clerkenwell",12.0,13,13
1,2,37,"Phillimore Gardens, Kensington",20.0,4,14
2,3,32,"Christopher Street, Liverpool Street",1.0,0,40
3,4,23,"St. Chad's Street, King's Cross",19.0,14,24
4,5,27,"Sedding Street, Sloane Square",4.0,1,24
5,6,18,"Broadcasting House, Marylebone",1.0,1,19
6,7,16,"Charlbert Street, St. John's Wood",13.0,12,13
7,8,39,"Maida Vale, Maida Vale",20.0,19,23
8,9,19,"New Globe Walk, Bankside",4.0,2,19
9,10,18,"Park Street, Bankside",7.0,2,10
10,11,24,"Brunswick Square, Bloomsbury",6.0,5,13
11,12,49,"Malet Street, Bloomsbury",3.0,5,51
12,13,21,"Scala Street, Fitzrovia",2.0,1,21
13,14,48,"Belgrove Street , King's Cross",36.0,257,271
14,15,26,"Great Russell Street, Bloomsbury",2.0,1,26
15,16,22,"Cartwright Gardens , Bloomsbury",12.0,10,13
16,17,26,"Hatton Wall, Holborn",2.0,3,32
17,18,27,"Drury Lane, Covent Garden",1.0,0,31
18,19,30,"Taviton Street, Bloomsbury",11.0,6,17
19,20,28,"Drummond Street , Euston",23.0,27,27
20,21,16,"Hampstead Road (Cartmel), Euston",11.0,7,7
21,22,19,"Northington Street , Holborn",3.0,2,20
22,23,16,"Red Lion Square, Holborn",1.0,2,17
23,24,35,"British Museum, Bloomsbury",3.0,5,35
24,25,50,"Doric Way , Somers Town",41.0,43,44
25,26,21,"Ampton Street , Clerkenwell",13.0,10,10
26,27,33,"Bouverie Street, Temple",1.0,0,46
27,28,18,"Bolsover Street, Fitzrovia",6.0,6,13
28,29,22,"Hereford Road, Bayswater",14.0,19,21
29,30,24,"Windsor Terrace, Hoxton",17.0,18,19
30,31,36,"Fanshaw Street, Hoxton",28.0,15,16
31,32,43,"Leonard Circus , Shoreditch",3.0,1,44
32,33,18,"Central House, Aldgate",10.0,3,12
33,34,16,"Pancras Road, King's Cross",13.0,8,12
34,36,28,"De Vere Gardens, Kensington",5.0,7,11
35,37,17,"Penywern Road, Earl's Court",8.0,7,11
36,38,17,"Abingdon Villas, Kensington",7.0,6,8
37,39,41,"Shoreditch High Street, Shoreditch",17.0,6,20
38,40,16,"Commercial Street, Shoreditch",9.0,2,13
39,41,24,"Pindar Street, Liverpool Street",1.0,0,24
40,42,28,"Wenlock Road , Hoxton",21.0,23,23
41,43,18,"Crawford Street, Marylebone",5.0,5,8
42,44,21,"Bruton Street, Mayfair",3.0,2,22
43,45,26,"Boston Place, Marylebone",22.0,50,50
44,46,16,"Nesham Street, Wapping",14.0,12,14
45,47,19,"Warwick Avenue Station, Maida Vale",15.0,17,19
46,48,25,"Godliman Street, St. Paul's",2.0,0,37
47,49,16,"Curzon Street, Mayfair",2.0,0,16
48,50,27,"East Road, Hoxton",17.0,7,16
49,51,29,"Finsbury Library , Finsbury",11.0,6,17
50,52,18,"Roscoe Street, St. Luke's",5.0,3,13
51,53,18,"Grafton Street, Mayfair",1.0,0,19
52,54,27,"Golden Lane, Barbican",4.0,1,23
53,55,33,"Finsbury Circus, Liverpool Street",5.0,1,38
54,56,16,"Paddington Street, Marylebone",6.0,4,7
55,57,32,"Guilford Street , Bloomsbury",10.0,2,24
56,58,20,"New Inn Yard, Shoreditch",7.0,2,17
57,60,18,"Lisson Grove, St. John's Wood",10.0,7,8
58,61,33,"Great Dover Street, The Borough",24.0,23,25
59,62,24,"Cotton Garden Estate, Kennington",11.0,13,14
60,63,27,"Murray Grove , Hoxton",21.0,13,14
61,64,26,"William IV Street, Strand",3.0,1,30
62,65,17,,4.0,6,12
63,66,40,"Holborn Circus, Holborn",1.0,0,188
64,67,28,"Hatton Garden, Holborn",2.0,12,42
65,68,26,"Theobald's Road , Holborn",1.0,4,31
66,69,24,"Euston Road, Euston",21.0,23,24
67,70,24,"Calshot Street , King's Cross",17.0,9,9
68,71,34,"Newgate Street , St. Paul's",1.0,0,103
69,72,16,"Farringdon Lane, Clerkenwell",2.0,2,17
70,73,37,"Old Street Station, St. Luke's",13.0,1,33
71,74,17,"Vauxhall Cross, Vauxhall",7.0,7,13
72,75,19,"Torrens Street, Angel",7.0,5,11
73,76,21,"Longford Street, The Regent's Park",12.0,8,9
74,77,26,"Russell Square Station, Bloomsbury",13.0,5,14
75,78,17,"Sadlers Sports Centre, Finsbury",6.0,5,16
76,79,18,"Arundel Street, Temple",6.0,1,18
77,80,45,"Webber Street , Southwark",20.0,12,13
78,81,19,"Great Titchfield Street, Fitzrovia",4.0,2,17
79,82,15,"Chancery Lane, Holborn",1.0,0,16
80,83,21,"Panton Street, West End",1.0,1,21
81,84,25,"Breams Buildings, Holborn",0.0,2,30
82,85,40,"Tanner Street, Bermondsey",32.0,23,29
83,86,24,"Sancroft Street, Vauxhall",17.0,20,21
84,87,16,"Devonshire Square, Liverpool Street",3.0,1,16
85,88,25,"Bayley Street , Bloomsbury",1.0,0,31
